State,Year,Quarter,Population
Maryland,2021,4,
Massachusetts,2021,1,
Massachusetts,2021,2,
Massachusetts,2021,3,
Massachusetts,2021,4,
Michigan,2021,1,
Michigan,2021,2,
Michigan,2021,3,
Michigan,2021,4,
Minnesota,2021,1,
Minnesota,2021,2,
Minnesota,2021,3,
Minnesota,2021,4,
Mississippi,2021,1,
Mississippi,2021,2,
Mississippi,2021,3,
Mississippi,2021,4,
Missouri,2021,1,
Missouri,2021,2,
Missouri,2021,3,
Missouri,2021,4,
Montana,2021,1,
Montana,2021,2,
Montana,2021,3,
Montana,2021,4,
N. Mariana Islands,2021,1,
N. Mariana Islands,2021,2,
N. Mariana Islands,2021,3,
N. Mariana Islands,2021,4,
Nebraska,2021,1,
Nebraska,2021,2,
Nebraska,2021,3,
Nebraska,2021,4,
Nevada,2021,1,
Nevada,2021,2,
Nevada,2021,3,
Nevada,2021,4,
New Hampshire,2021,1,
New Hampshire,2021,2,
New Hampshire,2021,3,
New Hampshire,2021,4,
New Jersey,2021,1,
New Jersey,2021,2,
New Jersey,2021,3,
New Jersey,2021,4,
New Mexico,2021,1,
New Mexico,2021,2,
New Mexico,2021,3,
New Mexico,2021,4,
New York,2021,1,
New York,2021,2,
New York,2021,3,
New York,2021,4,
North Carolina,2021,1,
North Carolina,2021,2,
North Carolina,2021,3,
North Carolina,2021,4,
North Dakota,2021,1,
North Dakota,2021,2,
North Dakota,2021,3,
North Dakota,2021,4,
Ohio,2021,1,
Ohio,2021,2,
Ohio,2021,3,
Ohio,2021,4,
Oklahoma,2021,1,
Oklahoma,2021,2,
Oklahoma,2021,3,
Oklahoma,2021,4,
Oregon,2021,1,
Oregon,2021,2,
Oregon,2021,3,
Oregon,2021,4,
Pennsylvania,2021,1,
Pennsylvania,2021,2,
Pennsylvania,2021,3,
Pennsylvania,2021,4,
Puerto Rico,2021,1,
Puerto Rico,2021,2,
Puerto Rico,2021,3,
Puerto Rico,2021,4,
Rhode Island,2021,1,
Rhode Island,2021,2,
Rhode Island,2021,3,
Rhode Island,2021,4,
South Carolina,2021,1,
South Carolina,2021,2,
South Carolina,2021,3,
South Carolina,2021,4,
South Dakota,2021,1,
South Dakota,2021,2,
South Dakota,2021,3,
South Dakota,2021,4,
Tennessee,2021,1,
Tennessee,2021,2,
Tennessee,2021,3,
Tennessee,2021,4,
Texas,2021,1,
Texas,2021,2,
Texas,2021,3,
Texas,2021,4,
Totals,2021,1,
Totals,2021,2,
Totals,2021,3,
Totals,2021,4,
Utah,2021,1,
Utah,2021,2,
Utah,2021,3,
Utah,2021,4,
Vermont,2021,1,
Vermont,2021,2,
Vermont,2021,3,
Vermont,2021,4,
Virgin Islands,2021,1,
Virgin Islands,2021,2,
Virgin Islands,2021,3,
Virgin Islands,2021,4,
Virginia,2021,1,
Virginia,2021,2,
Virginia,2021,3,
Virginia,2021,4,
Washington,2021,1,
Washington,2021,2,
Washington,2021,3,
Washington,2021,4,
West Virginia,2021,1,
West Virginia,2021,2,
West Virginia,2021,3,
West Virginia,2021,4,
Wisconsin,2021,1,
Wisconsin,2021,2,
Wisconsin,2021,3,
Wisconsin,2021,4,
Wyoming,2021,1,
Wyoming,2021,2,
Wyoming,2021,3,
Wyoming,2021,4,
Alabama,2022,1,
Alabama,2022,2,
Alabama,2022,3,
Alabama,2022,4,
Alaska,2022,1,
Alaska,2022,2,
Alaska,2022,3,
Alaska,2022,4,
Amer. Samoa,2022,1,
Amer. Samoa,2022,2,
Amer. Samoa,2022,3,
Amer. Samoa,2022,4,
Arizona,2022,1,
Arizona,2022,2,
Arizona,2022,3,
Arizona,2022,4,
Arkansas,2022,1,
Arkansas,2022,2,
Arkansas,2022,3,
Arkansas,2022,4,
California,2022,1,
California,2022,2,
California,2022,3,
California,2022,4,
Colorado,2022,1,
Colorado,2022,2,
Colorado,2022,3,
Colorado,2022,4,
Connecticut,2022,1,
Connecticut,2022,2,
Connecticut,2022,3,
Connecticut,2022,4,
Delaware,2022,1,
Delaware,2022,2,
Delaware,2022,3,
Delaware,2022,4,
Dist. Of Col.,2022,1,
Dist. Of Col.,2022,2,
Dist. Of Col.,2022,3,
Dist. Of Col.,2022,4,
Florida,2022,1,
Florida,2022,2,
Florida,2022,3,
Florida,2022,4,
Georgia,2022,1,
Georgia,2022,2,
Georgia,2022,3,
Georgia,2022,4,
Guam,2022,1,
Guam,2022,2,
Guam,2022,3,
Guam,2022,4,
Hawaii,2022,1,
Hawaii,2022,2,
Hawaii,2022,3,
Hawaii,2022,4,
Idaho,2022,1,
Idaho,2022,2,
Idaho,2022,3,
Idaho *,2022,4,
Illinois,2022,1,
Illinois,2022,2,
Illinois,2022,3,
Illinois,2022,4,
Indiana,2022,1,
Indiana,2022,2,
Indiana,2022,3,
Indiana,2022,4,
Iowa,2022,1,
Iowa,2022,2,
Iowa,2022,3,
Iowa,2022,4,
Kansas,2022,1,
Kansas,2022,2,
Kansas,2022,3,
Kansas,2022,4,
Kentucky,2022,1,
Kentucky,2022,2,
Kentucky,2022,3,
Kentucky,2022,4,
Louisiana,2022,1,
Louisiana,2022,2,
Louisiana,2022,3,
Louisiana,2022,4,
Maine,2022,1,
Maine,2022,2,
Maine,2022,3,
Maine,2022,4,
Maryland,2022,1,
Maryland,2022,2,
Maryland,2022,3,
Maryland,2022,4,
Massachusetts,2022,1,
Massachusetts,2022,2,
Massachusetts,2022,3,
Massachusetts,2022,4,
Michigan,2022,1,
Michigan,2022,2,
Michigan,2022,3,
Michigan,2022,4,
Minnesota,2022,1,
Minnesota,2022,2,
Minnesota,2022,3,
Minnesota,2022,4,
Mississippi,2022,1,
Mississippi,2022,2,
Mississippi,2022,3,
Mississippi,2022,4,
Missouri,2022,1,
Missouri,2022,2,
Missouri,2022,3,
Missouri,2022,4,
Montana,2022,1,
Montana,2022,2,
Montana,2022,3,
Montana,2022,4,
N. Mariana Islands,2022,1,
N. Mariana Islands,2022,2,
N. Mariana Islands,2022,3,
N. Mariana Islands,2022,4,
Nebraska,2022,1,
Nebraska,2022,2,
Nebraska,2022,3,
Nebraska,2022,4,
Nevada,2022,1,
Nevada,2022,2,
Nevada,2022,3,
Nevada,2022,4,
New Hampshire,2022,1,
New Hampshire,2022,2,
New Hampshire,2022,3,
New Hampshire,2022,4,
New Jersey,2022,1,
New Jersey,2022,2,
New Jersey,2022,3,
New Jersey,2022,4,
New Mexico,2022,1,
New Mexico,2022,2,
New Mexico,2022,3,
New Mexico,2022,4,
New York,2022,1,
New York,2022,2,
New York,2022,3,
New York,2022,4,
North Carolina,2022,1,
North Carolina,2022,2,
North Carolina,2022,3,
North Carolina,2022,4,
North Dakota,2022,1,
North Dakota,2022,2,
North Dakota,2022,3,
North Dakota,2022,4,
Ohio,2022,1,
Ohio,2022,2,
Ohio,2022,3,
Ohio,2022,4,
Oklahoma,2022,1,
Oklahoma,2022,2,
Oklahoma,2022,3,
Oklahoma,2022,4,
Oregon,2022,1,
Oregon,2022,2,
Oregon,2022,3,
Oregon,2022,4,
Pennsylvania,2022,1,
Pennsylvania,2022,2,
Pennsylvania,2022,3,
Pennsylvania,2022,4,
Puerto Rico,2022,1,
Puerto Rico,2022,2,
Puerto Rico,2022,3,
Puerto Rico,2022,4,
Rhode Island,2022,1,
Rhode Island,2022,2,
Rhode Island,2022,3,
Rhode Island,2022,4,
South Carolina,2022,1,
South Carolina,2022,2,
South Carolina,2022,3,
South Carolina,2022,4,
South Dakota,2022,1,
South Dakota,2022,2,
South Dakota,2022,3,
South Dakota,2022,4,
Tennessee,2022,1,
Tennessee,2022,2,
Tennessee,2022,3,
Tennessee,2022,4,
Texas,2022,1,
Texas,2022,2,
Texas,2022,3,
Texas,2022,4,
Totals,2022,1,
Totals,2022,2,
Totals,2022,3,
Totals,2022,4,
Utah,2022,1,
Utah,2022,2,
Utah,2022,3,
Utah,2022,4,
Vermont,2022,1,
Vermont,2022,2,
Vermont,2022,3,
Vermont,2022,4,
Virgin Islands,2022,1,
Virgin Islands,2022,2,
Virgin Islands,2022,3,
Virgin Islands,2022,4,
Virginia,2022,1,
Virginia,2022,2,
Virginia,2022,3,
Virginia,2022,4,
Washington,2022,1,
Washington,2022,2,
Washington,2022,3,
Washington,2022,4,
West Virginia,2022,1,
West Virginia,2022,2,
West Virginia,2022,3,
West Virginia,2022,4,
Wisconsin,2022,1,
Wisconsin,2022,2,
Wisconsin,2022,3,
Wisconsin,2022,4,
Wyoming,2022,1,
Wyoming,2022,2,
Wyoming,2022,3,
Wyoming,2022,4,
Alabama,2023,1,
Alabama,2023,2,
Alabama,2023,3,
Alabama ,2023,4,
Alaska,2023,1,
Alaska,2023,2,
Alaska,2023,3,
Alaska ,2023,4,
Amer. Samoa,2023,1,
Amer. Samoa,2023,2,
Amer. Samoa,2023,3,
Amer. Samoa ,2023,4,
Arizona,2023,1,
Arizona,2023,2,
Arizona,2023,3,
Arizona ,2023,4,
Arkansas,2023,1,
Arkansas,2023,2,
Arkansas,2023,3,
Arkansas ,2023,4,
California,2023,1,
California,2023,2,
California,2023,3,
California ,2023,4,
Colorado,2023,1,
Colorado,2023,2,
Colorado,2023,3,
Colorado ,2023,4,
Connecticut,2023,1,
Connecticut,2023,2,
Connecticut,2023,3,
Connecticut ,2023,4,
Delaware,2023,1,
Delaware,2023,2,
Delaware,2023,3,
Delaware ,2023,4,
Dist. Of Col.,2023,1,
Dist. Of Col.,2023,2,
Dist. Of Col.,2023,3,
Dist. Of Col. ,2023,4,
Florida,2023,1,
Florida,2023,2,
Florida,2023,3,
Florida ,2023,4,
Georgia,2023,1,
Georgia,2023,2,
Georgia,2023,3,
Georgia ,2023,4,
Guam,2023,1,
Guam,2023,2,
Guam,2023,3,
Guam ,2023,4,
Hawaii,2023,1,
Hawaii,2023,2,
Hawaii,2023,3,
Hawaii ,2023,4,
Idaho,2023,1,
Idaho,2023,2,
Idaho,2023,3,
Idaho ,2023,4,
Illinois,2023,1,
Illinois,2023,2,
Illinois,2023,3,
Illinois ,2023,4,
Indiana,2023,1,
Indiana,2023,2,
Indiana,2023,3,
Indiana ,2023,4,
Iowa,2023,1,
Iowa,2023,2,
Iowa,2023,3,
Iowa ,2023,4,
Kansas,2023,1,
Kansas,2023,2,
Kansas,2023,3,
Kansas ,2023,4,
Kentucky,2023,1,
Kentucky,2023,2,
Kentucky,2023,3,
Kentucky ,2023,4,
Louisiana,2023,1,
Louisiana,2023,2,
Louisiana,2023,3,
Louisiana ,2023,4,
Maine,2023,1,
Maine,2023,2,
Maine,2023,3,
Maine ,2023,4,
Maryland,2023,1,
Maryland,2023,2,
Maryland,2023,3,
Maryland ,2023,4,
Massachusetts,2023,1,
Massachusetts,2023,2,
Massachusetts,2023,3,
Massachusetts ,2023,4,
Michigan,2023,1,
Michigan,2023,2,
Michigan,2023,3,
Michigan ,2023,4,
Minnesota,2023,1,
Minnesota,2023,2,
Minnesota,2023,3,
Minnesota ,2023,4,
Mississippi,2023,1,
Mississippi,2023,2,
Mississippi,2023,3,
Mississippi ,2023,4,
Missouri,2023,1,
Missouri,2023,2,
Missouri,2023,3,
Missouri ,2023,4,
Montana,2023,1,
Montana,2023,2,
Montana,2023,3,
Montana ,2023,4,
N. Mariana Islands,2023,1,
N. Mariana Islands,2023,2,
N. Mariana Islands,2023,3,
N. Mariana Islands ,2023,4,
Nebraska,2023,1,
Nebraska,2023,2,
Nebraska,2023,3,
Nebraska ,2023,4,
Nevada,2023,1,
Nevada,2023,2,
Nevada,2023,3,
Nevada ,2023,4,
New Hampshire,2023,1,
New Hampshire,2023,2,
New Hampshire,2023,3,
New Hampshire ,2023,4,
New Jersey,2023,1,
New Jersey,2023,2,
New Jersey,2023,3,
New Jersey ,2023,4,
New Mexico,2023,1,
New Mexico,2023,2,
New Mexico,2023,3,
New Mexico ,2023,4,
New York,2023,1,
New York,2023,2,
New York,2023,3,
New York ,2023,4,
North Carolina,2023,1,
North Carolina,2023,2,
North Carolina,2023,3,
North Carolina ,2023,4,
North Dakota,2023,1,
North Dakota,2023,2,
North Dakota,2023,3,
North Dakota ,2023,4,
Ohio,2023,1,
Ohio,2023,2,
Ohio,2023,3,
Ohio ,2023,4,
Oklahoma,2023,1,
Oklahoma,2023,2,
Oklahoma,2023,3,
Oklahoma ,2023,4,
Oregon,2023,1,
Oregon,2023,2,
Oregon,2023,3,
Oregon ,2023,4,
Pennsylvania,2023,1,
Pennsylvania,2023,2,
Pennsylvania,2023,3,
Pennsylvania ,2023,4,
Puerto Rico,2023,1,
Puerto Rico,2023,2,
Puerto Rico,2023,3,
Puerto Rico ,2023,4,
Rhode Island,2023,1,
Rhode Island,2023,2,
Rhode Island,2023,3,
Rhode Island ,2023,4,
South Carolina,2023,1,
South Carolina,2023,2,
South Carolina,2023,3,
South Carolina ,2023,4,
South Dakota,2023,1,
South Dakota,2023,2,
South Dakota,2023,3,
South Dakota ,2023,4,
Tennessee,2023,1,
Tennessee,2023,2,
Tennessee,2023,3,
Tennessee ,2023,4,
Texas,2023,1,
Texas,2023,2,
Texas,2023,3,
Texas ,2023,4,
Totals,2023,1,
Totals,2023,2,
Totals,2023,3,
Totals,2023,4,
Utah,2023,1,
Utah,2023,2,
Utah,2023,3,
Utah ,2023,4,
Vermont,2023,1,
Vermont,2023,2,
Vermont,2023,3,
Vermont ,2023,4,
Virgin Islands,2023,1,
Virgin Islands,2023,2,
Virgin Islands,2023,3,
Virgin Islands ,2023,4,
Virginia,2023,1,
Virginia,2023,2,
Virginia,2023,3,
Virginia ,2023,4,
Washington,2023,1,
Washington,2023,2,
Washington,2023,3,
Washington ,2023,4,
West Virginia,2023,1,
West Virginia,2023,2,
West Virginia,2023,3,
West Virginia ,2023,4,
Wisconsin,2023,1,
Wisconsin,2023,2,
Wisconsin,2023,3,
Wisconsin ,2023,4,
Wyoming,2023,1,
Wyoming,2023,2,
Wyoming,2023,3,
Wyoming ,2023,4,
Alabama ,2024,1,
Alabama ,2024,2,
Alabama ,2024,3,
Alabama ,2024,4,
Alaska ,2024,1,
Alaska ,2024,2,
Alaska ,2024,3,
Alaska ,2024,4,
Amer. Samoa ,2024,1,
Amer. Samoa ,2024,2,
Amer. Samoa ,2024,3,
Amer. Samoa ,2024,4,
Arizona ,2024,1,
Arizona ,2024,2,
Arizona ,2024,3,
Arizona ,2024,4,
Arkansas ,2024,1,
Arkansas ,2024,2,
Arkansas ,2024,3,
Arkansas ,2024,4,
California ,2024,1,
California ,2024,2,
California ,2024,3,
California ,2024,4,
Colorado ,2024,1,
Colorado ,2024,2,
Colorado ,2024,3,
Colorado ,2024,4,
Connecticut ,2024,1,
Connecticut ,2024,2,
Connecticut ,2024,3,
Connecticut ,2024,4,
Delaware ,2024,1,
Delaware ,2024,2,
Delaware ,2024,3,
Delaware ,2024,4,
Dist. Of Col. ,2024,1,
Dist. Of Col. ,2024,2,
Dist. Of Col. ,2024,3,
Dist. Of Col. ,2024,4,
Florida ,2024,1,
Florida ,2024,2,
Florida ,2024,3,
Florida ,2024,4,
Georgia ,2024,1,
Georgia ,2024,2,
Georgia ,2024,3,
Georgia ,2024,4,
Guam ,2024,1,
Guam ,2024,2,
Guam ,2024,3,
Guam ,2024,4,
Hawaii ,2024,1,
Hawaii ,2024,2,
Hawaii ,2024,3,
Hawaii ,2024,4,
Idaho ,2024,1,
Idaho ,2024,2,
Idaho ,2024,3,
Idaho ,2024,4,
Illinois ,2024,1,
Illinois ,2024,2,
Illinois ,2024,3,
Illinois ,2024,4,
Indiana ,2024,1,
Indiana ,2024,2,
Indiana ,2024,3,
Indiana ,2024,4,
Iowa ,2024,1,
Iowa ,2024,2,
Iowa ,2024,3,
Iowa ,2024,4,
Kansas ,2024,1,
Kansas ,2024,2,
Kansas ,2024,3,
Kansas ,2024,4,
Kentucky ,2024,1,
Kentucky ,2024,2,
Kentucky ,2024,3,
Kentucky ,2024,4,
Louisiana ,2024,1,
Louisiana ,2024,2,
Louisiana ,2024,3,
Louisiana ,2024,4,
Maine ,2024,1,
Maine ,2024,2,
Maine ,2024,3,
Maine ,2024,4,
Maryland ,2024,1,
Maryland ,2024,2,
Maryland ,2024,3,
Maryland ,2024,4,
Massachusetts ,2024,1,
Massachusetts ,2024,2,
Massachusetts ,2024,3,
Massachusetts ,2024,4,
Michigan ,2024,1,
Michigan ,2024,2,
Michigan ,2024,3,
Michigan ,2024,4,
Minnesota ,2024,1,
Minnesota ,2024,2,
Minnesota ,2024,3,
Minnesota ,2024,4,
Mississippi ,2024,1,
Mississippi ,2024,2,
Mississippi ,2024,3,
Mississippi ,2024,4,
Missouri ,2024,1,
Missouri ,2024,2,
Missouri ,2024,3,
Missouri ,2024,4,
Montana ,2024,1,
Montana ,2024,2,
Montana ,2024,3,
Montana ,2024,4,
N. Mariana Islands ,2024,1,
N. Mariana Islands ,2024,2,
N. Mariana Islands ,2024,3,
N. Mariana Islands ,2024,4,
Nebraska ,2024,1,
Nebraska ,2024,2,
Nebraska ,2024,3,
Nebraska ,2024,4,
Nevada ,2024,1,
Nevada ,2024,2,
Nevada ,2024,3,
Nevada ,2024,4,
New Hampshire ,2024,1,
New Hampshire ,2024,2,
New Hampshire ,2024,3,
New Hampshire ,2024,4,
New Jersey ,2024,1,
New Jersey ,2024,2,
New Jersey ,2024,3,
New Jersey ,2024,4,
New Mexico ,2024,1,
New Mexico ,2024,2,
New Mexico ,2024,3,
New Mexico ,2024,4,
New York ,2024,1,
New York ,2024,2,
New York ,2024,3,
New York ,2024,4,
North Carolina ,2024,1,
North Carolina ,2024,2,
North Carolina ,2024,3,
North Carolina ,2024,4,
North Dakota ,2024,1,
North Dakota ,2024,2,
North Dakota ,2024,3,
North Dakota ,2024,4,
Ohio ,2024,1,
Ohio ,2024,2,
Ohio ,2024,3,
Ohio ,2024,4,
Oklahoma ,2024,1,
Oklahoma ,2024,2,
Oklahoma ,2024,3,
Oklahoma ,2024,4,
Oregon ,2024,1,
Oregon ,2024,2,
Oregon ,2024,3,
Oregon ,2024,4,
Pennsylvania ,2024,1,
Pennsylvania ,2024,2,
Pennsylvania ,2024,3,
Pennsylvania ,2024,4,
Puerto Rico ,2024,1,
Puerto Rico ,2024,2,
Puerto Rico ,2024,3,
Puerto Rico ,2024,4,
Rhode Island ,2024,1,
Rhode Island ,2024,2,
Rhode Island ,2024,3,
Rhode Island ,2024,4,
South Carolina ,2024,1,
South Carolina ,2024,2,
South Carolina ,2024,3,
South Carolina ,2024,4,
South Dakota ,2024,1,
South Dakota ,2024,2,
South Dakota ,2024,3,
South Dakota ,2024,4,
Tennessee ,2024,1,
Tennessee ,2024,2,
Tennessee ,2024,3,
Tennessee ,2024,4,
Texas ,2024,1,
Texas ,2024,2,
Texas ,2024,3,
Texas ,2024,4,
Totals,2024,1,
Totals,2024,2,
Totals,2024,3,
Totals,2024,4,
Utah ,2024,1,
Utah ,2024,2,
Utah ,2024,3,
Utah ,2024,4,
Vermont ,2024,1,
Vermont ,2024,2,
Vermont ,2024,3,
Vermont ,2024,4,
Virgin Islands ,2024,1,
Virgin Islands ,2024,2,
Virgin Islands ,2024,3,
Virgin Islands ,2024,4,
Virginia ,2024,1,
Virginia ,2024,2,
Virginia ,2024,3,
Virginia ,2024,4,
Washington ,2024,1,
Washington ,2024,2,
Washington ,2024,3,
Washington ,2024,4,
West Virginia ,2024,1,
West Virginia ,2024,2,
West Virginia ,2024,3,
West Virginia ,2024,4,
Wisconsin ,2024,1,
Wisconsin ,2024,2,
Wisconsin ,2024,3,
Wisconsin ,2024,4,
Wyoming ,2024,1,
Wyoming ,2024,2,
Wyoming ,2024,3,
Wyoming ,2024,4,
