,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
N06A,7595,2.71,7595,2.71
C05A,6968,2.48,14563,5.19
D07A,6647,2.37,21210,7.56
N05A,6359,2.27,27569,9.83
A01A,6083,2.17,33652,12.0
N02B,5865,2.09,39517,14.09
R01A,5611,2.0,45128,16.09
N03A,5514,1.96,50642,18.05
S01A,5119,1.82,55761,19.87
S01B,4884,1.74,60645,21.61
C10A,4385,1.56,65030,23.17
N02A,4345,1.55,69375,24.72
H02A,4178,1.49,73553,26.21
M01A,4162,1.48,77715,27.69
C07A,4090,1.46,81805,29.15
D10A,3861,1.38,85666,30.53
N06B,3798,1.35,89464,31.88
R06A,3749,1.34,93213,33.22
B01A,3694,1.32,96907,34.54
A10B,3445,1.23,100352,35.77
R02A,3415,1.22,103767,36.99
D07X,3405,1.21,107172,38.2
B05X,3342,1.19,110514,39.39
A02B,3314,1.18,113828,40.57
C09C,3204,1.14,117032,41.71
G01A,3199,1.14,120231,42.85
D11A,3176,1.13,123407,43.98
D04A,3056,1.09,126463,45.07
A06A,3033,1.08,129496,46.15
R03B,2947,1.05,132443,47.2
A07E,2835,1.01,135278,48.21
M02A,2786,0.99,138064,49.2
N05B,2665,0.95,140729,50.15
J01C,2643,0.94,143372,51.09
L04A,2524,0.9,145896,51.99
J01F,2441,0.87,148337,52.86
N01B,2433,0.87,150770,53.73
J01D,2421,0.86,153191,54.59
G03C,2405,0.86,155596,55.45
B05C,2382,0.85,157978,56.3
S02B,2345,0.84,160323,57.14
R05D,2329,0.83,162652,57.97
D01A,2306,0.82,164958,58.79
G03A,2289,0.82,167247,59.61
G04B,2239,0.8,169486,60.41
J01X,2222,0.79,171708,61.2
C03A,2217,0.79,173925,61.99
S01C,2187,0.78,176112,62.77
S01E,2179,0.78,178291,63.55
C09A,2160,0.77,180451,64.32
A12C,2061,0.73,182512,65.05
J05A,2050,0.73,184562,65.78
L02A,2043,0.73,186605,66.51
G02C,2008,0.72,188613,67.23
C01B,1993,0.71,190606,67.94
H03A,1956,0.7,192562,68.64
V03A,1939,0.69,194501,69.33
S01X,1917,0.68,196418,70.01
S01G,1896,0.68,198314,70.69
N07B,1873,0.67,200187,71.36
A07A,1828,0.65,202015,72.01
C08C,1816,0.65,203831,72.66
C01C,1731,0.62,205562,73.28
C01E,1729,0.62,207291,73.9
L01X,1725,0.61,209016,74.51
M03B,1705,0.61,210721,75.12
A12B,1680,0.6,212401,75.72
N05C,1502,0.54,213903,76.26
S01H,1468,0.52,215371,76.78
S02A,1444,0.51,216815,77.29
N02C,1428,0.51,218243,77.8
S02D,1403,0.5,219646,78.3
R03A,1390,0.5,221036,78.8
C09D,1332,0.47,222368,79.27
V04C,1330,0.47,223698,79.74
S03B,1327,0.47,225025,80.21
R01B,1318,0.47,226343,80.68
G03D,1303,0.46,227646,81.14
A04A,1288,0.46,228934,81.6
R05C,1252,0.45,230186,82.05
J01A,1237,0.44,231423,82.49
B03A,1232,0.44,232655,82.93
L01B,1229,0.44,233884,83.37
S01F,1208,0.43,235092,83.8
N04B,1165,0.42,236257,84.22
B02B,1156,0.41,237413,84.63
C08D,1098,0.39,238511,85.02
J02A,1088,0.39,239599,85.41
D06B,1058,0.38,240657,85.79
S03A,1055,0.38,241712,86.17
L01E,1008,0.36,242720,86.53
N06D,939,0.33,243659,86.86
A03A,924,0.33,244583,87.19
B05B,920,0.33,245503,87.52
D06A,887,0.32,246390,87.84
N01A,886,0.32,247276,88.16
C03C,882,0.31,248158,88.47
R05F,864,0.31,249022,88.78
J01M,858,0.31,249880,89.09
C05B,851,0.3,250731,89.39
A02A,799,0.28,251530,89.67
J01G,795,0.28,252325,89.95
R03C,781,0.28,253106,90.23
C03D,757,0.27,253863,90.5
R03D,736,0.26,254599,90.76
L01C,703,0.25,255302,91.01
A11C,701,0.25,256003,91.26
G04C,670,0.24,256673,91.5
C02A,666,0.24,257339,91.74
P01A,664,0.24,258003,91.98
B03B,655,0.23,258658,92.21
A12A,651,0.23,259309,92.44
J06B,640,0.23,259949,92.67
C01D,630,0.22,260579,92.89
M04A,593,0.21,261172,93.1
D02A,582,0.21,261754,93.31
L02B,559,0.2,262313,93.51
C09B,551,0.2,262864,93.71
V06D,551,0.2,263415,93.91
A10A,537,0.19,263952,94.1
D05A,506,0.18,264458,94.28
L01A,500,0.18,264958,94.46
N07A,486,0.17,265444,94.63
M03A,483,0.17,265927,94.8
A03B,455,0.16,266382,94.96
L01F,445,0.16,266827,95.12
H05B,438,0.16,267265,95.28
M05B,416,0.15,267681,95.43
B03X,413,0.15,268094,95.58
C02C,413,0.15,268507,95.73
A16A,409,0.15,268916,95.88
C10B,409,0.15,269325,96.03
C03B,399,0.14,269724,96.17
C02D,397,0.14,270121,96.31
G03B,388,0.14,270509,96.45
L03A,366,0.13,270875,96.58
B06A,336,0.12,271211,96.7
A07D,323,0.12,271534,96.82
A11G,313,0.11,271847,96.93
D08A,310,0.11,272157,97.04
L01D,296,0.11,272453,97.15
A11H,296,0.11,272749,97.26
N04A,291,0.1,273040,97.36
P01B,257,0.09,273297,97.45
A07B,252,0.09,273549,97.54
A09A,244,0.09,273793,97.63
D10B,244,0.09,274037,97.72
B02A,241,0.09,274278,97.81
A11D,235,0.08,274513,97.89
H01B,228,0.08,274741,97.97
N07X,228,0.08,274969,98.05
J01E,226,0.08,275195,98.13
H01A,218,0.08,275413,98.21
G02A,209,0.07,275622,98.28
G03F,207,0.07,275829,98.35
C03E,194,0.07,276023,98.42
J04A,194,0.07,276217,98.49
D07C,193,0.07,276410,98.56
C07B,190,0.07,276600,98.63
A08A,183,0.07,276783,98.7
C01A,182,0.06,276965,98.76
A11J,179,0.06,277144,98.82
C04A,170,0.06,277314,98.88
D09A,164,0.06,277478,98.94
B05A,162,0.06,277640,99.0
A05A,162,0.06,277802,99.06
G03X,159,0.06,277961,99.12
D01B,158,0.06,278119,99.18
A03F,155,0.06,278274,99.24
H02C,153,0.05,278427,99.29
H01C,150,0.05,278577,99.34
C02K,147,0.05,278724,99.39
P03A,136,0.05,278860,99.44
V07A,129,0.05,278989,99.49
J04B,128,0.05,279117,99.54
H04A,120,0.04,279237,99.58
S01L,113,0.04,279350,99.62
S01K,104,0.04,279454,99.66
H03B,100,0.04,279554,99.7
P02C,84,0.03,279638,99.73
S02C,81,0.03,279719,99.76
N06C,77,0.03,279796,99.79
D03A,68,0.02,279864,99.81
G02B,64,0.02,279928,99.83
R07A,52,0.02,279980,99.85
C07C,48,0.02,280028,99.87
A11A,47,0.02,280075,99.89
M03C,44,0.02,280119,99.91
D05B,41,0.01,280160,99.92
M09A,39,0.01,280199,99.93
G03G,36,0.01,280235,99.94
J07B,36,0.01,280271,99.95
D02B,36,0.01,280307,99.96
C03X,31,0.01,280338,99.97
A03C,31,0.01,280369,99.98
P01C,31,0.01,280400,99.99
J07A,28,0.01,280428,100.0
C09X,27,0.01,280455,100.01
A11E,26,0.01,280481,100.02
A14A,19,0.01,280500,100.03
M01C,18,0.01,280518,100.04
H05A,18,0.01,280536,100.05
V01A,16,0.01,280552,100.06
B05D,12,0.0,280564,100.06
G03E,10,0.0,280574,100.06
N04C,9,0.0,280583,100.06
P02B,9,0.0,280592,100.06
V10X,8,0.0,280600,100.06
A07X,5,0.0,280605,100.06
A10X,4,0.0,280609,100.06
D03B,4,0.0,280613,100.06
A07F,2,0.0,280615,100.06
J01B,2,0.0,280617,100.06
J07C,1,0.0,280618,100.06
R05X,1,0.0,280619,100.06
V09G,1,0.0,280620,100.06
